feature_name,selected_in_folds,first_fold,selection_fraction
fractal_katz__ch03,15,ID1,0.8333333333333334
fractal_katz__ch14,15,ID1,0.8333333333333334
fractal_katz__ch17,15,ID10,0.8333333333333334
line_length__ch03,14,ID1,0.7777777777777778
fractal_katz__ch04,13,ID1,0.7222222222222222
line_length__ch02,12,ID10,0.6666666666666666
line_length__ch04,11,ID1,0.6111111111111112
line_length__ch17,11,ID10,0.6111111111111112
fractal_katz__ch09,10,ID11,0.5555555555555556
line_length__ch14,10,ID1,0.5555555555555556
line_length__ch16,10,ID10,0.5555555555555556
line_length__ch05,9,ID11,0.5
fractal_katz__ch05,8,ID11,0.4444444444444444
amp_var__ch03,6,ID11,0.3333333333333333
line_length__ch10,6,ID14a,0.3333333333333333
amp_var__ch09,5,ID11,0.2777777777777778
line_length__ch18,5,ID11,0.2777777777777778
min__ch04,5,ID11,0.2777777777777778
min__ch16,5,ID13a,0.2777777777777778
fractal_katz__ch18,4,ID14a,0.2222222222222222
line_length__ch19,4,ID16,0.2222222222222222
fractal_katz__ch07,3,ID14a,0.16666666666666666
fractal_katz__ch10,3,ID16,0.16666666666666666
fractal_katz__ch12,3,ID14a,0.16666666666666666
fractal_katz__ch19,3,ID16,0.16666666666666666
line_length__ch07,3,ID14a,0.16666666666666666
amp_var__ch04,1,ID4b,0.05555555555555555
amp_var__ch05,1,ID4b,0.05555555555555555
amp_var__ch10,1,ID12,0.05555555555555555
fractal_katz__ch11,1,ID14a,0.05555555555555555
fractal_katz__ch15,1,ID4b,0.05555555555555555
line_length__ch01,1,ID7,0.05555555555555555
line_length__ch15,1,ID4b,0.05555555555555555
line_length__ch20,1,ID7,0.05555555555555555
max__ch03,1,ID7,0.05555555555555555
max__ch12,1,ID4b,0.05555555555555555
max__ch20,1,ID7,0.05555555555555555
min__ch13,1,ID8,0.05555555555555555
min__ch18,1,ID7,0.05555555555555555
