feature_name,mean_importance,mean_abs_importance,selected_in_folds
amp_var__ch10,0.15416672481792432,0.15416672481792432,1
fractal_katz__ch09,0.14422082735771258,0.14422082735771258,10
fractal_katz__ch17,0.12740043136348936,0.12740043136348936,15
line_length__ch17,0.11604469500641237,0.11604469500641237,11
line_length__ch16,0.10788955112871479,0.10788955112871479,10
fractal_katz__ch14,0.10319821003380843,0.10319821003380843,15
line_length__ch02,0.10097739132874957,0.10097739132874957,12
amp_var__ch09,0.09091515911584248,0.09091515911584248,5
fractal_katz__ch03,0.08828979359622614,0.08828979359622614,15
line_length__ch03,0.08394808738288743,0.08394808738288743,14
min__ch16,0.0834771512095074,0.0834771512095074,5
line_length__ch14,0.07572547024727652,0.07572547024727652,10
line_length__ch04,0.07551606831570962,0.07551606831570962,11
fractal_katz__ch04,0.07294802031419916,0.07294802031419916,13
line_length__ch05,0.06517725638192624,0.06517725638192624,9
fractal_katz__ch05,0.06016956503569806,0.06016956503569806,8
line_length__ch10,0.05881280422521571,0.05881280422521571,6
line_length__ch19,0.054810157679679006,0.054810157679679006,4
amp_var__ch03,0.047253387236389305,0.047253387236389305,6
fractal_katz__ch10,0.045384825790699614,0.045384825790699614,3
fractal_katz__ch07,0.04533447948959864,0.04533447948959864,3
line_length__ch01,0.04501628632298475,0.04501628632298475,1
line_length__ch07,0.04349680460412076,0.04349680460412076,3
min__ch13,0.042542827226943615,0.042542827226943615,1
line_length__ch15,0.04047389239130942,0.04047389239130942,1
line_length__ch18,0.03998202785719096,0.03998202785719096,5
fractal_katz__ch19,0.03934296893142999,0.03934296893142999,3
fractal_katz__ch18,0.037979158096370286,0.037979158096370286,4
fractal_katz__ch15,0.037692846138740424,0.037692846138740424,1
min__ch04,0.03720996449975793,0.03720996449975793,5
amp_var__ch05,0.035742381384237444,0.035742381384237444,1
fractal_katz__ch11,0.03267590879202298,0.03267590879202298,1
amp_var__ch04,0.03184899537814527,0.03184899537814527,1
max__ch20,0.03146180337972536,0.03146180337972536,1
fractal_katz__ch12,0.030498007811792086,0.030498007811792086,3
max__ch12,0.030124238767903447,0.030124238767903447,1
line_length__ch20,0.02588714396360901,0.02588714396360901,1
max__ch03,0.021569053225760155,0.021569053225760155,1
min__ch18,0.021019293146281467,0.021019293146281467,1
